company_name,about,website,email,investor_names,location/hq,lead/follow,initial_check_size,hardware/software,primary_stage_focus,initial_ownership_target,b2b/b2c/b2b2c,can_also_enter_at,investment_focus,does_not_invest_in,linkedin,crunchbase
Courtside Ventures,"Courtside Ventures is the leading early-stage fund focused on Sports, Lifestyle, and Gaming.",http://www.courtsidevc.com/,hello@courtsidevc.com,"Vasu Kulkarni, Deepen Parikh, Kai Bond",New York,Mostly Lead,-,Agnostic,"Seed
Series A",-,-,-,"Consumer Goods
Gaming
Healthcare
Marketplaces",-,https://www.linkedin.com/company/courtsidevc/,https://www.crunchbase.com/organization/courtside-ventures
Cowboy Ventures,"Cowboy Ventures is a generalist seed-stage fund focused fund investing in technology startups. Specifically software infra, SaaS, FinTech, vertical SaaS, healthcare, security and future of work.",http://www.cowboy.vc/,hello@cowboy.vc,"Aileen Lee, Amanda Robson, Jill Williams",California,Mostly Lead,"$500k-1m
$1-3m",Software / Code,"Seed
Pre-Seed","10-12%
> 12%",Agnostic,-,"SaaS
Financial Services / Payments
IaaS
Future of Work
Consumer Goods
Healthcare
Privacy & Security
AI / ML",Biotech,https://www.linkedin.com/company/cowboy-ventures,https://www.crunchbase.com/organization/cowboy-ventures
Craft Ventures,"Craft Ventures is an early-stage and growth fund dedicated to the craft of building great companies. Comprised of entrepreneurs and operators, we are founders helping founders.",https://craftventures.com/,jessica@craftventures.com,"Georg Ell, J Zac Stein, Jennifer Sui, Ryan Hrabak, Sean Whitney, Sky Dayton",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,"SaaS
Marketplaces",-,https://www.linkedin.com/company/craft-ventures,https://www.crunchbase.com/organization/craft-ventures
Creative Ventures,Creative Ventures is a deep tech venture firm investing in early-stage companies solving humanity’s most critical crises.,http://www.creativeventures.vc/,invest@creativeventures.vc,"Champ Suthipongchai, James Wang, Alex Luce, Kulika Weizman",California,Can Lead,-,Hardware / Physical Products,"Seed
Series A",-,-,-,"Hardware
Healthcare
Agriculture & Farming
CleanTech / Impact / Sustainability",-,https://www.linkedin.com/company/creative-ventures-partner,https://www.crunchbase.com/organization/creative-ventures
Crew Capital,Crew Capital is a venture capital firm investing in entrepreneurs building category-defining technology companies.,https://crew.vc/,info@crewcapital.co,"Brandon Deer, Daniel Dines",New York,Can Lead,-,Software / Code,"Seed
Series A",-,-,-,"Privacy & Security
Web3 / Blockchain
Financial Services / Payments
SaaS
Healthcare",-,https://www.linkedin.com/company/crewvc/,https://www.crunchbase.com/organization/crew-capital
Crossbeam Venture Partners,"We invest in early-stage startups that operate in new Internet / Platform Economies, Financial Services, or Novel Asset Classes.",https://crossbeam.vc/,info@crossbeam.vc,"Ali Hamed, Chris Ryan, Savneet Singh, Ryan Morgan",New York,Mostly Lead,"$500k-1m
$1-3m",Agnostic,"Seed
Series A",-,-,-,"Advertising & Media
Gaming
Real Estate
Financial Services / Payments
Healthcare
SaaS
E-Commerce",-,https://www.linkedin.com/company/68860416,https://www.crunchbase.com/organization/crossbeam-venture-partners
Crosscut Ventures,Partnering with early-stage founders to build extraordinary high-growth tech companies from Seed to Series A,http://www.crosscut.vc/,info@crosscut.vc,"Rick Smith, Brian Garrett, Brett Brewer",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,-,"Advertising & Media
AI / ML
CleanTech / Impact / Sustainability
Consumer Goods
Web3 / Blockchain
E-Commerce
Financial Services / Payments
Gaming
Real Estate
Social / Communities
Supply Chain & Logistics",-,https://www.linkedin.com/company/crosscut-ventures/,https://www.crunchbase.com/organization/crosscut-ventures
Crosslink Capital,Partnering with ambitious early-stage founders building category-defining companies.,http://www.crosslinkcapital.com/,info@crosslinkcapital.com,"Eric Chin, Jim Feuille, David Silverman, Gabby Contro, Phil Boyer, Matt Bigge, Michael Stark, Tobias Nilsson-Roos",California,Mostly Lead,"$1-3m
> $3m",Agnostic,"Seed
Series A","10-12%
> 12%",Agnostic,Pre-Seed,"AI / ML
Data & Analytics
E-Commerce
Financial Services / Payments
Future of Work
Healthcare
Marketplaces
Sales & Marketing
SaaS
Privacy & Security",-,http://www.linkedin.com/company/crosslink-capital,https://www.crunchbase.com/organization/crosslink-capital
CRV,We're a generalist firm investing across all tech-enabled categories from Seed - Series B.,https://crv.com/,Warm intro,-,California,Mostly Lead,"$1-3m
> $3m",Software / Code,"Seed
Series A
Series B",> 12%,Agnostic,"Seed
Series A
Series B","AI / ML
Gaming
Healthcare
Marketplaces
SaaS
CleanTech / Impact / Sustainability
Energy",-,,
Cultivation Capital,Cultivation Capital invests in young companies whose ideas have potential to transform the way we live and work.,http://www.cultivationcapital.com/,press@cultivationcapital.com,"Matt Badler, Mark Bakken, Kristina Barrett, Andy Dearing, Marc Hirshman, Elise Miller Hoffman, Cliff Holekamp, Brian Matthews, Rick Ryan, Bobby Sandage, Barry Sandweiss, Bill Schmidt, David Smoller, Timothy Stern, John True, Paul Weber, Kyle Welborn, Heather Wood",Missouri,Mostly Lead,"$100-250k
$250-500k
$500k-1m
$1-3m
> $3m",Agnostic,"Seed
Series A",-,-,Pre-Seed,"Healthcare
SaaS
Agriculture & Farming
Food & Beverages
CleanTech / Impact / Sustainability
Financial Services / Payments",-,http://www.linkedin.com/company/cultivation-capital,https://www.crunchbase.com/organization/cultivation-capital
Dallas Venture Capital,Dallas Venture Capital is an early-stage venture fund investing in emerging technologies launched by enterprise-focused entrepreneurs.,http://dallasvc.com/,info@dallasvc.com,"Abidali Z. Neemuchwala, Dayakar Puskoor",Texas,Mostly Follow,$1-3m,Software / Code,Seed,-,-,-,"AI / ML
Privacy & Security",-,https://www.linkedin.com/company/dallas-venture-capital,https://www.crunchbase.com/organization/dallas-venture-capital
Dapper Labs,Dapper Labs invests in Blockchain,https://www.dapperlabs.com/,marketing@dapperlabs.com,"Roham Gharegozlou, Mikhael Naayem",British Columbia,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,Web3 / Blockchain,-,https://www.linkedin.com/company/dapper-labs,https://www.crunchbase.com/organization/dapper-labs
Dash Fund,Backing the next wave of category-defining FinTech founders and companies.,https://dashfund.co/,team@dashfund.co,"Ryan Sells, Tom Seo",New York,Mostly Follow,-,"Software / Code
Services",Seed,-,-,-,Financial Services / Payments,-,https://www.linkedin.com/company/dashfund/,https://www.crunchbase.com/organization/dash-fund
DataPower Ventures,We invest in Applied AI & DeepTech startups.,https://datapower.vc/,david@datapower.vc,David Yakobovitch,New York,Mostly Follow,-,Agnostic,Seed,-,-,-,"AI / ML
Hardware",-,https://www.linkedin.com/company/datapower-ventures,https://www.crunchbase.com/organization/datapower-ventures
Day One Ventures,We’re an early-stage venture capital firm that backs customer-obsessed companies and spearheads their communications.,http://dayoneventures.com/,pitch@dayoneventures.com,"Masha Bucher, Drake Rehfeld, Sanjiv Sanghavi",California,Mostly Follow,-,Agnostic,"Seed
Series A",-,-,Pre-Seed,"AI / ML
Web3 / Blockchain
Consumer Goods
Financial Services / Payments
CleanTech / Impact / Sustainability
Real Estate
SaaS",-,https://www.linkedin.com/company/18449883/,https://www.crunchbase.com/organization/day-one-ventures
DCM Ventures,"DCM partners with inspired entrepreneurs to build high-impact, global technology companies.",http://www.dcm.com/,businessplan@dcm.com,"Ibrahim Alsuwaidi, David Chao, David Cheng, Dixon Doll, Osuke Honda",California,Mostly Follow,-,Agnostic,Seed,-,-,-,"Hardware
Social / Communities
Gaming
SaaS
Advertising & Media
IaaS",-,http://www.linkedin.com/company/dcm,https://www.crunchbase.com/organization/dcm
DCVC,DCVC backs entrepreneurs using deep tech to solve problems and multiply the benefits of capitalism for everyone while reducing its cost.,http://www.dcvc.com/,info@dcvc.com,"Zachary Bogue, Matthew Ocko, John Hamer, Kiersten Stead, Spencer Punter, Chris Boshuizen, Kelly Chen, Alan Cohen, James Hardiman, Jason Pontin, Eric Shiozaki, Rachel Slaybaugh, Ali Tamaseb, Matt Trevithick",California,Can Lead,-,Hardware / Physical Products,"Seed
Series A",-,-,-,Hardware,-,https://www.linkedin.com/company/data-collective,https://www.crunchbase.com/organization/data-collective
Debut Capital,"We invest in Black, Latinx, and Indigenous founders creating influential businesses that will shape our future into the revolutionary world it's meant to be.",http://debutcapital.com/,hello@debutcapital.com,"Pilar Johnson, Bobak Emamian",New York,Can Lead,-,Agnostic,Seed,-,-,Pre-Seed,"Consumer Goods
Marketplaces
Healthcare
Gaming
Advertising & Media
Financial Services / Payments
SaaS
Social / Communities
Real Estate",-,https://www.linkedin.com/company/debutcapital,https://www.crunchbase.com/organization/debut-capital
Decent Capital,"Decent’s investment team invests from Seed to Series A, primarily focusing on SaaS, Consumer Internet, and Frontier Tech.",http://www.decentcapital.com/,-,"Jason Zeng, Tong Xie",California,Can Lead,-,Software / Code,"Seed
Series A",-,-,-,"AI / ML
Biotech
Marketplaces
Supply Chain & Logistics
Social / Communities
Real Estate
SaaS",-,https://www.linkedin.com/company/decent-capital,https://www.crunchbase.com/organization/decent-capital
Decibel Partners,"Decibel is an independent venture capital firm created in partnership with Cisco to push the conventional boundaries of early stage investing. Decibel combines the speed, agility, and independent risk-taking traditionally found in the best venture firms, while offering differentiated access to the scale, entrepreneurial talent, and deep customer relationships found in one of the largest tech companies in the world. This approach is an industry first and provides a unique way for entrepreneurs to get access to unparalleled resources at a time and stage when they need it most.",https://www.decibel.vc/,hello@decibel.vc,"Jon Sakoda, Dan Nguyen-Huu, Sudip Chakrabarti",California,Mostly Lead,-,Software / Code,"Seed
Series A",-,-,-,"SaaS
AI / ML
Data & Analytics
Privacy & Security",-,https://www.linkedin.com/company/decibelvc/,https://www.crunchbase.com/organization/decibel-vc
Deciens Capital,Deciens Capital supports innovators who are building the next generation of enduring companies in financial services.,http://deciens.com/,info@deciens.com,"Daniel Kimerling, Ishan Sachdev",New Mexico,Mostly Follow,-,Software / Code,Seed,-,-,-,Financial Services / Payments,-,https://www.linkedin.com/company/deciens-capital/about/,https://www.crunchbase.com/organization/deciens-capital
Define Ventures,Define Ventures is the largest early-stage venture firm solely focusing on digital health companies based in Silicon Valley.,https://definevc.com/,-,"Lynne Chou O'Keefe, Hong Truong, Chirag Shah",California,Mostly Lead,-,Software / Code,Series A,-,-,Seed,Healthcare,-,https://www.linkedin.com/company/definevc/,https://www.crunchbase.com/organization/define-ventures
Defined VC,"We are a thesis-driven venture capital firm supporting founders advancing the Automation Frontier, where data, humans and AI come together to solve problems in radically new ways.",https://www.definedvc.com/,-,Mark Trevitt,British Columbia,Can Lead,"$250-500k
$500k-1m",Software / Code,"Pre-Seed
Seed","< 5%
5-7%",B2B,-,-,-,https://www.linkedin.com/company/definedcapital/,
Defy.vc,Defy is an early-stage venture fund focused on emerging high-potential opportunities.,http://defy.vc/,hello@defy.vc,"Madison Mcilwain, Bob Rosin, Brian Rothenberg, Kamil Saeid, Neil Sequeira, Purvi Shah, Phebe Chen Tran",California,Mostly Lead,-,Software / Code,Seed,-,-,Pre-Seed,"Healthcare
Data & Analytics
Education
Financial Services / Payments
Supply Chain & Logistics
Marketplaces
Advertising & Media
Gaming",-,https://www.linkedin.com/company/18244294/,https://www.crunchbase.com/organization/defy-partners
Dell Technologies Capital,Leading early-stage investments in the people building foundational companies for the enterprise.,https://www.delltechnologiescapital.com/,delltechcapital@dell.com,"Scott Darling, Raman Khanna, Daniel Docter, Gregg Adkin, Deepak Jeevankumar, Yair Snir, Tyler Jewell, Radhika Malik, Omri Green",California,Mostly Follow,-,Software / Code,"Seed
Series A",-,-,-,"Privacy & Security
IaaS
Data & Analytics
Supply Chain & Logistics
SaaS",-,https://www.linkedin.com/company/delltechcapital/,https://www.crunchbase.com/organization/dell-technologies-capital
Demos,"We invest in clean and carbon tech, biotech, food as medicine and personalized nutrition, health tech and healthcare, ag tech, and financial equity.",https://www.demosfunds.io/,Email with current pitch deck,"Eric Frost, Adrian Ho, Brandon Small",Minnesota,Mostly Follow,$250-500k,Agnostic,"Pre-Seed
Seed
Series A","< 5%
No Target",Agnostic,Series B,"Biotech
Agriculture & Farming
Energy
FoodTech
Future of Work
Healthcare
Web3 / Blockchain",We tend to shy away from CPG.,https://www.linkedin.com/company/demosfunds/,
Designer Fund,"Designer Fund invests in early stage tech companies that use design to improve health, sustainability, and prosperity for all people.",http://designerfund.com/,-,"Ben Blumenrose, Enrique Allen",California,Mostly Follow,$250-500k,Agnostic,Seed,-,-,-,"Healthcare
CleanTech / Impact / Sustainability
Financial Services / Payments
Education
Marketplaces
Web3 / Blockchain",-,https://www.linkedin.com/company/2998004,https://www.crunchbase.com/organization/designer-fund
